Фрейм,Амплитуда
619,2.4339428
620,1.9898394
621,1.2892903
622,1.2238789
623,1.4167413
624,1.3214272
625,1.2332335
626,1.082888
627,1.0428319
628,1.10755
629,1.1216171
630,1.0725439
631,1.1660044
632,1.262118
633,1.292995
634,1.2928668
635,1.1868373
636,0.9897925
637,1.2774951
638,1.5128953
639,1.4853169
640,1.4951948
641,1.4838814
642,1.4677885
643,1.4630293
644,1.3780146
645,1.3951443
646,1.4903669
647,1.7124712
648,1.665813
649,1.4745349
650,1.3581967
651,1.2473072
652,1.1786716
653,1.109638
654,1.0749595
655,1.0819055
656,1.238743
657,1.4813225
658,1.5135373
659,1.5867559
660,1.509381
661,1.484396
662,1.4237157
663,1.5027006
664,1.8051145
665,1.6957035
666,1.5944027
667,1.537438
668,1.432262
669,1.3031056
670,1.2670391
671,1.5041885
672,1.7633556
673,1.9613501
674,1.7711221
675,1.6359658
676,1.5648776
677,1.5013075
678,1.6382838
679,1.7276332
680,1.9517417
681,1.878745
682,1.5649686
683,1.5880946
684,1.5832663
685,1.4573371
686,1.1113663
687,0.79992443
688,0.7890848
689,1.4886883
690,1.8421844
691,1.6447127
692,1.578942
693,1.4826348
